cell_azimuth_deg_1,cell_azimuth_deg_2,cell_azimuth_deg_3,cell_azimuth_deg_4,cell_azimuth_deg_5,cell_azimuth_deg_6,cell_azimuth_deg_7,cell_azimuth_deg_8,cell_azimuth_deg_9,cell_azimuth_deg_10,cell_azimuth_deg_11,cell_azimuth_deg_12,cell_azimuth_deg_13,cell_azimuth_deg_14,cell_azimuth_deg_15,cell_elec_tilt_deg_1,cell_elec_tilt_deg_2,cell_elec_tilt_deg_3,cell_elec_tilt_deg_4,cell_elec_tilt_deg_5,cell_elec_tilt_deg_6,cell_elec_tilt_deg_7,cell_elec_tilt_deg_8,cell_elec_tilt_deg_9,cell_elec_tilt_deg_10,cell_elec_tilt_deg_11,cell_elec_tilt_deg_12,cell_elec_tilt_deg_13,cell_elec_tilt_deg_14,cell_elec_tilt_deg_15,cell_mech_tilt_deg_1,cell_mech_tilt_deg_2,cell_mech_tilt_deg_3,cell_mech_tilt_deg_4,cell_mech_tilt_deg_5,cell_mech_tilt_deg_6,cell_mech_tilt_deg_7,cell_mech_tilt_deg_8,cell_mech_tilt_deg_9,cell_mech_tilt_deg_10,cell_mech_tilt_deg_11,cell_mech_tilt_deg_12,cell_mech_tilt_deg_13,cell_mech_tilt_deg_14,cell_mech_tilt_deg_15,cell_txpower_dbm_1,cell_txpower_dbm_2,cell_txpower_dbm_3,cell_txpower_dbm_4,cell_txpower_dbm_5,cell_txpower_dbm_6,cell_txpower_dbm_7,cell_txpower_dbm_8,cell_txpower_dbm_9,cell_txpower_dbm_10,cell_txpower_dbm_11,cell_txpower_dbm_12,cell_txpower_dbm_13,cell_txpower_dbm_14,cell_txpower_dbm_15,rxpower_dbm_1,rxpower_dbm_2,rxpower_dbm_3,rxpower_dbm_4,rxpower_dbm_5,rxpower_dbm_6,rxpower_dbm_7,rxpower_dbm_8,rxpower_dbm_9,rxpower_dbm_10,rxpower_dbm_11,rxpower_dbm_12,rxpower_dbm_13,rxpower_dbm_14,rxpower_dbm_15,rsrp_dbm,rx_loc1,rx_loc2
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4254,-124.4635,-148.1144,-148.6448,-148.6681,-149.5007,-147.1946,-140.0382,-132.6581,-123.0107,-133.5942,-121.2144,-147.9793,-136.7426,-149.153,-121.2144,77.49472222222221,13.008888888888901
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4168,-124.1299,-147.9343,-148.5617,-148.5846,-149.4157,-147.0094,-140.4229,-132.9392,-122.9902,-133.7203,-121.0163,-147.8525,-136.2038,-149.0211,-121.0163,77.49472222222221,13.0091666666667
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4152,-123.7894,-147.7515,-148.4806,-148.5033,-149.3329,-146.8241,-140.8384,-133.2468,-122.9741,-133.8548,-120.8177,-147.7263,-135.6583,-148.8899,-120.8177,77.49472222222221,13.009444444444402
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.42,-123.441,-147.5658,-148.4019,-148.4244,-149.2524,-146.6388,-141.2874,-133.5832,-122.9634,-133.9988,-120.6195,-147.601,-135.1063,-148.7594,-120.6195,77.49472222222221,13.0097222222222
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4329,-123.0852,-147.3774,-148.3257,-148.3479,-149.1745,-146.4541,-141.7726,-133.951,-122.9587,-134.1531,-120.4222,-147.4767,-134.5483,-148.6298,-120.4222,77.49472222222221,13.01
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4546,-122.7221,-147.1862,-148.2521,-148.2741,-149.0991,-146.2703,-142.2955,-134.3516,-122.9597,-134.3175,-120.2252,-147.3537,-133.9846,-148.5015,-120.2252,77.49472222222221,13.0102777777778
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.4854,-122.3511,-146.9922,-148.1813,-148.203,-149.0267,-146.088,-142.8593,-134.7881,-122.96700000000001,-134.4926,-120.029,-147.2321,-133.4157,-148.3747,-120.029,77.49472222222221,13.010555555555598
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.5248,-121.9711,-146.7942,-148.1135,-148.1348,-148.9561,-145.9044,-143.4661,-135.2609,-122.9793,-134.6772,-119.8339,-147.1124,-132.8418,-148.2472,-119.8339,77.49472222222221,13.010833333333302
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.5757,-121.5834,-146.5934,-148.0488,-148.0697,-148.8887,-145.7218,-144.0795,-135.7733,-122.9992,-134.8743,-119.6408,-146.9947,-132.264,-148.1216,-119.6408,77.49472222222221,13.0111111111111
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.6396,-121.1882,-146.3898,-147.9873,-148.0079,-148.8245,-145.5422,-144.1915,-136.3292,-123.0269,-135.0839,-119.4496,-146.8791,-131.6834,-147.998,-119.4496,77.49472222222221,13.0113888888889
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.7171,-120.7849,-146.1834,-147.9293,-147.9494,-148.7638,-145.3662,-144.0227,-136.9315,-123.0628,-135.3067,-119.2606,-146.7661,-131.1,-147.8768,-119.2606,77.49472222222221,13.011666666666699
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.8098,-120.3739,-145.9745,-147.8748,-147.8946,-148.7067,-145.1946,-143.8584,-137.5823,-123.1073,-135.5432,-119.0741,-146.6557,-130.5146,-147.7582,-119.0741,77.49472222222221,13.011944444444401
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-126.9193,-119.9552,-145.7629,-147.8241,-147.8435,-148.6533,-145.0282,-143.6994,-138.2844,-123.1611,-135.7941,-118.8907,-146.5484,-129.9283,-147.6426,-118.8907,77.49472222222221,13.0122222222222
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-127.0473,-119.529,-145.549,-147.7772,-147.7962,-148.6038,-144.8679,-143.5466,-139.0409,-123.2248,-136.0602,-118.7107,-146.4445,-129.3429,-147.5303,-118.7107,77.49472222222221,13.0125
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-127.1956,-119.0959,-145.3328,-147.7343,-147.753,-148.5584,-144.7145,-143.4009,-139.85399999999998,-123.29899999999999,-136.3421,-118.5348,-146.3441,-128.7582,-147.4217,-118.5348,77.49472222222221,13.012777777777801
